;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
29;43.75;3.0;25.0;31.25;21.88;31.25;23.44;45.31;65.62;37.5;68.75;31.25;0.0587;0.008295211744308471;62.5;3.0;25.0;31.25;25.0;34.38;25.0;48.44;67.19;37.5;70.31;31.25;0.0555;0.008196535482406616
30;43.75;3.0;25.0;31.25;21.88;31.25;23.44;45.31;65.62;37.5;68.75;31.25;0.06;0.008261931610107421;62.5;3.0;25.0;31.25;25.0;34.38;25.0;48.44;67.19;50.0;70.31;31.25;0.05592;0.00817648777961731
31;43.75;3.0;25.0;31.25;21.88;31.25;23.44;45.31;65.62;37.5;68.75;31.25;0.0623;0.008241521120071411;62.5;3.0;25.0;31.25;25.0;34.38;25.0;48.44;67.19;50.0;70.31;31.25;0.0577;0.008157511749267578
32;43.75;3.0;25.0;31.25;21.88;31.25;23.44;45.31;65.62;50.0;68.75;31.25;0.0652;0.008213161420822143;62.5;3.0;25.0;31.25;25.0;34.38;25.0;48.44;67.19;50.0;70.31;31.25;0.0594;0.008134789142608642
33;43.75;3.0;25.0;31.25;21.88;31.25;23.44;45.31;64.06;50.0;67.19;31.25;0.0678;0.008191890382766723;62.5;3.0;25.0;37.5;25.0;34.38;25.0;48.44;67.19;50.0;68.75;31.25;0.0608;0.00810908290863037
34;43.75;3.0;25.0;31.25;21.88;31.25;23.44;45.31;64.06;50.0;67.19;31.25;0.0715;0.00816194200515747;62.5;3.0;25.0;37.5;25.0;34.38;25.0;48.44;67.19;50.0;68.75;31.25;0.06254;0.00808373818397522
35;43.75;3.0;25.0;31.25;25.0;31.25;23.44;45.31;64.06;50.0;67.19;31.25;0.0733;0.008136783075332641;62.5;3.0;25.0;37.5;25.0;34.38;25.0;48.44;67.19;50.0;68.75;31.25;0.06632;0.008062020444869995
36;43.75;3.0;25.0;31.25;25.0;31.25;23.44;45.31;64.06;50.0;67.19;31.25;0.0758;0.008103788757324218;59.38;3.0;25.0;37.5;25.0;34.38;25.0;48.44;65.62;50.0;68.75;31.25;0.06682;0.00803695779800415
37;43.75;3.0;25.0;37.5;25.0;31.25;23.44;45.31;64.06;50.0;67.19;31.25;0.0768;0.008078179955482483;59.38;3.0;25.0;37.5;25.0;34.38;25.0;48.44;65.62;50.0;68.75;31.25;0.06914;0.00801159420967102
38;43.75;3.0;25.0;37.5;25.0;31.25;23.44;45.31;64.06;50.0;67.19;31.25;0.0813;0.008053990077972412;59.38;3.0;25.0;37.5;28.12;34.38;25.0;48.44;65.62;50.0;68.75;31.25;0.072;0.007990696730613709
39;43.75;3.0;25.0;37.5;25.0;31.25;23.44;45.31;64.06;50.0;67.19;31.25;0.0805;0.008027590894699097;59.38;3.0;25.0;37.5;28.12;34.38;26.56;48.44;65.62;50.0;68.75;31.25;0.0741;0.007963241000175475
40;43.75;3.0;25.0;37.5;25.0;31.25;23.44;45.31;64.06;50.0;67.19;31.25;0.0848;0.008004016089439393;59.38;3.0;25.0;37.5;28.12;34.38;26.56;48.44;65.62;50.0;68.75;31.25;0.07566;0.007942420630455017
41;43.75;3.0;25.0;37.5;25.0;31.25;23.44;45.31;64.06;50.0;67.19;31.25;0.0859;0.007972197580337525;59.38;3.0;25.0;37.5;28.12;34.38;26.56;48.44;65.62;50.0;68.75;31.25;0.07678;0.007918649625778198
42;43.75;3.0;25.0;37.5;25.0;31.25;23.44;45.31;64.06;50.0;67.19;31.25;0.0883;0.00795141830444336;59.38;3.0;25.0;37.5;28.12;34.38;26.56;48.44;65.62;50.0;68.75;31.25;0.07876;0.007901372361183167
43;43.75;3.0;25.0;37.5;25.0;31.25;23.44;45.31;64.06;50.0;67.19;31.25;0.0925;0.007924602103233338;59.38;3.0;25.0;37.5;28.12;37.5;26.56;48.44;65.62;50.0;68.75;31.25;0.0807;0.007875735235214234
44;43.75;3.0;25.0;37.5;25.0;34.38;23.44;45.31;64.06;50.0;67.19;31.25;0.0913;0.007904145193099975;59.38;4.0;25.0;37.5;28.12;37.5;26.56;48.44;65.62;50.0;68.75;31.25;0.08172;0.007854750685691834
45;43.75;3.0;25.0;37.5;25.0;34.38;23.44;45.31;64.06;50.0;67.19;31.25;0.0963;0.007883213543891907;59.38;4.0;25.0;37.5;28.12;37.5;26.56;48.44;65.62;50.0;68.75;31.25;0.08518;0.007834378294944763
46;43.75;3.0;25.0;37.5;25.0;34.38;23.44;45.31;64.06;50.0;67.19;31.25;0.0991;0.007851395320892334;59.38;4.0;25.0;37.5;28.12;37.5;26.56;48.44;65.62;50.0;68.75;31.25;0.08672;0.007811954798698425
47;43.75;3.0;25.0;37.5;25.0;34.38;23.44;45.31;64.06;50.0;67.19;31.25;0.1003;0.007827233934402466;59.38;4.0;25.0;37.5;28.12;37.5;26.56;48.44;65.62;50.0;68.75;31.25;0.08662;0.007788770728111267
48;43.75;3.0;25.0;37.5;25.0;34.38;23.44;45.31;64.06;50.0;67.19;31.25;0.1019;0.0078020280599594115;59.38;4.0;25.0;37.5;28.12;37.5;26.56;48.44;65.62;50.0;68.75;31.25;0.08888;0.007770492000579834
49;43.75;3.0;25.0;37.5;25.0;34.38;25.0;45.31;64.06;50.0;67.19;31.25;0.1032;0.00778326964378357;59.38;4.0;25.0;37.5;28.12;37.5;26.56;48.44;65.62;50.0;68.75;31.25;0.0882;0.007751136465072632
