;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
31;43.75;14.0;37.5;50.0;48.44;71.88;54.69;34.38;43.75;34.38;0.3921;0.01820673065185547;43.75;18.0;37.5;53.12;53.12;73.44;57.81;34.38;43.75;34.38;0.36092;0.019276967747211455
32;43.75;14.0;37.5;50.0;48.44;71.88;56.25;32.81;43.75;34.38;0.4041;0.017940850841999055;43.75;18.0;37.5;53.12;53.12;73.44;59.38;34.38;43.75;34.38;0.36522;0.019104707307815553
33;43.75;14.0;37.5;50.0;48.44;71.88;56.25;32.81;43.75;34.38;0.4045;0.018034477138519286;46.88;18.0;37.5;53.12;53.12;73.44;59.38;34.38;43.75;34.38;0.36504;0.01910435531616211
34;43.75;14.0;37.5;50.0;48.44;71.88;56.25;34.38;43.75;34.38;0.4082;0.017878755283355714;46.88;18.0;37.5;53.12;53.12;73.44;59.38;34.38;43.75;34.38;0.37044;0.018834629340171813
35;43.75;14.0;37.5;50.0;48.44;71.88;56.25;34.38;43.75;34.38;0.4057;0.017817139422893525;46.88;18.0;37.5;53.12;53.12;73.44;59.38;34.38;43.75;34.38;0.3733;0.01883307005882263
36;43.75;15.0;37.5;50.0;48.44;71.88;57.81;34.38;43.75;34.38;0.4109;0.017780955183506014;46.88;18.0;37.5;53.12;53.12;73.44;59.38;34.38;43.75;34.38;0.37434;0.01878202688217163
37;43.75;15.0;37.5;50.0;48.44;71.88;57.81;34.38;43.75;34.38;0.409;0.017801969003677368;46.88;18.0;37.5;53.12;53.12;73.44;60.94;34.38;43.75;34.38;0.38216;0.018729382967948915
38;43.75;15.0;37.5;50.0;50.0;71.88;57.81;34.38;43.75;34.38;0.4194;0.01745457775592804;46.88;18.0;37.5;53.12;53.12;73.44;60.94;34.38;43.75;34.38;0.38294;0.01857460443019867
39;43.75;15.0;37.5;50.0;50.0;71.88;57.81;34.38;43.75;34.38;0.4076;0.017731545770168305;46.88;18.0;37.5;53.12;53.12;73.44;60.94;34.38;43.75;34.38;0.38046;0.01853573095321655
40;43.75;15.0;37.5;50.0;50.0;71.88;57.81;34.38;43.75;31.25;0.4167;0.01750804740190506;46.88;18.0;37.5;53.12;53.12;73.44;60.94;34.38;43.75;31.25;0.38356;0.018478552544116972
41;43.75;15.0;37.5;50.0;48.44;71.88;59.38;34.38;43.75;31.25;0.4151;0.017670069527626037;46.88;18.0;37.5;50.0;53.12;73.44;60.94;34.38;43.75;31.25;0.3871;0.01829604300737381
42;43.75;15.0;37.5;50.0;48.44;71.88;59.38;34.38;43.75;31.25;0.4169;0.01752399286031723;46.88;19.0;37.5;50.0;51.56;73.44;60.94;34.38;43.75;31.25;0.38784;0.018296198682785033
43;43.75;15.0;37.5;50.0;50.0;71.88;59.38;34.38;43.75;31.25;0.4218;0.01740290516614914;46.88;19.0;37.5;50.0;51.56;73.44;62.5;34.38;43.75;31.25;0.39474;0.01819436095237732
44;43.75;15.0;37.5;50.0;50.0;73.44;59.38;34.38;43.75;31.25;0.418;0.01750524046421051;46.88;19.0;37.5;50.0;51.56;73.44;62.5;34.38;43.75;31.25;0.39246;0.018154709289073943
45;43.75;15.0;37.5;50.0;50.0;73.44;59.38;34.38;43.75;31.25;0.4247;0.017197567486763002;46.88;19.0;37.5;50.0;51.56;73.44;62.5;34.38;43.75;31.25;0.39542;0.01808950273990631
46;46.88;15.0;37.5;50.0;50.0;73.44;59.38;35.94;43.75;31.25;0.4188;0.017457191586494447;46.88;19.0;37.5;50.0;51.56;73.44;62.5;34.38;43.75;31.25;0.3968;0.018013110723495485
47;46.88;15.0;37.5;50.0;50.0;73.44;59.38;35.94;43.75;31.25;0.4316;0.017079770839214324;46.88;19.0;37.5;50.0;51.56;73.44;62.5;34.38;43.75;31.25;0.40236;0.017903044731616975
48;46.88;15.0;37.5;50.0;48.44;73.44;60.94;35.94;43.75;31.25;0.4295;0.01711364824771881;46.88;19.0;37.5;50.0;51.56;73.44;62.5;35.94;43.75;31.25;0.40282;0.0177782235455513
49;46.88;15.0;37.5;50.0;50.0;73.44;60.94;35.94;43.75;31.25;0.4279;0.017128305959701537;46.88;19.0;37.5;50.0;51.56;73.44;62.5;35.94;43.75;31.25;0.40358;0.017798993730545044
