;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
10;39.06;6.0;18.75;34.38;28.12;39.06;40.62;34.38;29.69;43.75;43.75;47.66;43.75;63.28;67.97;67.19;66.41;28.12;0.1303;0.029271335649490356;60.94;7.0;25.0;37.5;29.69;40.62;43.75;35.94;32.03;43.75;46.88;50.78;46.88;65.62;70.31;70.31;68.75;28.12;0.1133;0.02965773666858673
11;39.06;6.0;18.75;34.38;28.12;39.06;40.62;35.94;29.69;43.75;43.75;47.66;43.75;63.28;67.97;67.19;65.62;28.12;0.1396;0.028785271167755127;60.94;7.0;25.0;37.5;31.25;42.19;43.75;37.5;32.03;43.75;46.88;50.78;46.09;65.62;70.31;69.53;67.97;28.12;0.11974;0.029273236885070802
12;39.06;7.0;18.75;34.38;29.69;39.06;42.19;35.94;29.69;43.75;43.75;47.66;42.97;63.28;67.19;66.41;65.62;28.12;0.146;0.02838996043205261;60.94;7.0;25.0;37.5;31.25;42.19;43.75;37.5;32.03;43.75;46.88;50.0;46.09;65.62;69.53;68.75;67.97;28.12;0.12594;0.02885701053619385
13;39.06;7.0;18.75;34.38;29.69;40.62;42.19;35.94;29.69;43.75;43.75;47.66;42.97;63.28;67.19;66.41;65.62;28.12;0.1546;0.0280673264503479;60.94;7.0;25.0;37.5;31.25;42.19;45.31;37.5;32.03;43.75;46.88;50.0;46.09;64.84;69.53;68.75;67.19;31.25;0.13232;0.028533403949737548
14;40.62;7.0;25.0;34.38;29.69;40.62;42.19;35.94;30.47;43.75;44.53;47.66;42.97;62.5;66.41;65.62;64.84;31.25;0.1597;0.02766247081756592;60.94;8.0;25.0;37.5;31.25;42.19;45.31;37.5;32.03;43.75;46.88;50.0;45.31;64.84;68.75;67.97;67.19;31.25;0.1402;0.028205835814476013
15;40.62;7.0;25.0;37.5;29.69;40.62;42.19;37.5;30.47;50.0;44.53;47.66;42.97;62.5;66.41;65.62;64.84;31.25;0.1666;0.027245638489723206;59.38;8.0;31.25;37.5;31.25;43.75;45.31;39.06;32.03;50.0;46.88;50.0;45.31;64.84;68.75;67.97;67.19;31.25;0.14798;0.02788877730846405
16;40.62;7.0;25.0;37.5;29.69;42.19;43.75;37.5;30.47;50.0;44.53;47.66;42.97;62.5;66.41;64.84;64.84;31.25;0.1748;0.02693748073577881;59.38;8.0;31.25;37.5;31.25;43.75;45.31;39.06;32.81;50.0;46.88;50.0;45.31;64.06;67.97;67.19;66.41;31.25;0.15438;0.02754805263519287
17;40.62;8.0;25.0;37.5;29.69;42.19;43.75;37.5;30.47;50.0;44.53;47.66;42.97;61.72;65.62;64.84;64.84;31.25;0.1801;0.026668453669548033;59.38;8.0;31.25;37.5;31.25;43.75;45.31;39.06;32.81;50.0;46.88;50.0;45.31;64.06;67.97;67.19;66.41;31.25;0.16034;0.027289244556427002
18;39.06;8.0;25.0;37.5;29.69;42.19;43.75;37.5;30.47;50.0;44.53;46.88;42.97;61.72;65.62;64.84;64.06;31.25;0.1896;0.02626520802974701;59.38;9.0;31.25;37.5;31.25;43.75;46.88;39.06;32.81;50.0;46.88;50.0;45.31;64.06;67.19;67.19;66.41;31.25;0.16846;0.026931253089904784
19;40.62;8.0;25.0;37.5;29.69;42.19;43.75;39.06;31.25;50.0;44.53;47.66;42.97;61.72;65.62;64.06;64.06;31.25;0.2011;0.026032628059387206;59.38;9.0;31.25;37.5;32.81;43.75;46.88;39.06;32.81;50.0;46.88;50.0;45.31;64.06;67.19;66.41;65.62;34.38;0.17542;0.026659152069091797
