;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
20;17.19;16.0;43.75;40.62;35.94;48.44;56.25;54.69;35.94;68.75;54.69;57.03;50.78;20.31;9.38;6.25;8.59;40.62;0.425;0.01715858633518219;21.88;22.0;50.0;43.75;45.31;51.56;59.38;56.25;48.44;62.5;62.5;64.84;60.94;21.88;10.16;6.25;9.38;43.75;0.41204;0.01729739535331726
21;17.19;16.0;43.75;40.62;37.5;48.44;56.25;54.69;36.72;68.75;55.47;57.81;51.56;20.31;9.38;6.25;8.59;40.62;0.4183;0.017136771333217622;21.88;22.0;50.0;40.62;45.31;51.56;59.38;56.25;49.22;62.5;62.5;64.84;61.72;21.88;10.16;6.25;9.38;43.75;0.4237;0.01687957335948944
22;17.19;16.0;43.75;40.62;37.5;48.44;56.25;54.69;37.5;68.75;56.25;58.59;52.34;20.31;9.38;6.25;7.81;40.62;0.424;0.017567961192131044;21.88;23.0;50.0;40.62;45.31;51.56;59.38;56.25;49.22;62.5;62.5;64.84;61.72;21.88;10.16;6.25;8.59;43.75;0.43122;0.01668032879590988
23;17.19;16.0;43.75;40.62;37.5;48.44;56.25;54.69;38.28;68.75;56.25;59.38;53.91;20.31;9.38;6.25;8.59;40.62;0.4429;0.016414564347267152;21.88;23.0;50.0;40.62;45.31;50.0;59.38;56.25;49.22;62.5;63.28;64.84;62.5;21.88;9.38;6.25;8.59;43.75;0.4405;0.016368608899116517
24;17.19;16.0;43.75;40.62;37.5;48.44;57.81;54.69;39.06;68.75;57.03;59.38;54.69;21.09;9.38;6.25;8.59;40.62;0.4476;0.016574722373485565;21.88;23.0;50.0;40.62;45.31;50.0;59.38;56.25;50.0;62.5;63.28;65.62;63.28;21.88;9.38;6.25;8.59;43.75;0.44648;0.016162414062023164
25;17.19;16.0;43.75;40.62;37.5;48.44;56.25;54.69;39.06;68.75;57.03;60.16;55.47;21.09;9.38;6.25;8.59;40.62;0.4461;0.01666746221780777;21.88;24.0;50.0;40.62;43.75;50.0;59.38;56.25;50.0;62.5;63.28;65.62;63.28;21.88;9.38;6.25;8.59;43.75;0.45314;0.015902870798110962
26;17.19;16.0;43.75;40.62;37.5;48.44;57.81;54.69;39.84;68.75;57.81;60.94;56.25;21.09;9.38;6.25;8.59;40.62;0.4471;0.016518230044841768;21.88;24.0;50.0;40.62;43.75;50.0;59.38;54.69;50.78;62.5;63.28;65.62;64.06;21.88;9.38;6.25;8.59;43.75;0.46282;0.01569077485561371
27;17.19;17.0;43.75;40.62;37.5;48.44;56.25;54.69;40.62;68.75;58.59;60.94;57.03;21.09;9.38;6.25;8.59;40.62;0.4512;0.01663293298482895;21.88;24.0;50.0;40.62;43.75;48.44;59.38;54.69;50.78;62.5;63.28;65.62;64.06;21.88;9.38;6.25;8.59;43.75;0.47008;0.01540933662891388
28;17.19;17.0;43.75;40.62;37.5;46.88;56.25;54.69;40.62;62.5;58.59;60.94;57.81;21.09;9.38;6.25;8.59;40.62;0.4566;0.016544553220272065;21.88;24.0;50.0;40.62;43.75;48.44;57.81;54.69;50.78;62.5;63.28;65.62;64.84;21.88;9.38;6.25;8.59;43.75;0.47598;0.015202928349971771
29;17.19;17.0;43.75;40.62;37.5;46.88;56.25;54.69;41.41;62.5;58.59;61.72;58.59;21.09;9.38;6.25;8.59;40.62;0.4707;0.016032039749622345;21.88;24.0;50.0;40.62;43.75;48.44;57.81;54.69;51.56;62.5;64.06;65.62;64.84;21.88;9.38;6.25;9.38;43.75;0.48254;0.015058908958435058
30;17.19;17.0;43.75;40.62;37.5;46.88;57.81;53.12;42.19;62.5;59.38;61.72;59.38;21.09;9.38;6.25;8.59;40.62;0.4707;0.015807654583454133;21.88;25.0;50.0;40.62;43.75;48.44;57.81;54.69;51.56;62.5;64.06;66.41;65.62;21.88;9.38;6.25;9.38;43.75;0.48794;0.0148683127784729
31;17.19;17.0;43.75;40.62;37.5;46.88;57.81;53.12;42.19;62.5;59.38;62.5;60.16;21.09;9.38;6.25;8.59;40.62;0.4746;0.015909123694896696;21.88;25.0;50.0;40.62;43.75;48.44;57.81;53.12;51.56;62.5;64.06;66.41;66.41;21.88;9.38;6.25;9.38;43.75;0.49322;0.014710504295825958
32;17.19;17.0;43.75;40.62;37.5;46.88;56.25;53.12;42.97;62.5;60.16;62.5;60.94;21.09;9.38;6.25;8.59;40.62;0.4794;0.015686422312259675;21.88;25.0;50.0;40.62;43.75;48.44;57.81;53.12;52.34;62.5;64.06;66.41;66.41;21.88;9.38;5.47;9.38;43.75;0.50004;0.014513615503311157
