;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
20;28.12;14.0;50.0;40.62;34.38;46.88;60.94;39.84;58.59;50.0;62.5;35.16;20.31;10.16;43.75;0.4573;0.016041330420970917;34.38;20.0;56.25;43.75;40.62;50.0;64.06;54.69;65.62;50.0;71.09;39.84;22.66;10.94;46.88;0.471;0.01524364310503006
21;28.12;15.0;50.0;40.62;34.38;46.88;60.94;40.62;59.38;50.0;64.06;35.94;21.09;10.16;43.75;0.4687;0.015673794293403626;34.38;20.0;56.25;43.75;40.62;50.0;64.06;55.47;65.62;50.0;71.88;39.84;21.88;10.94;46.88;0.47898;0.015034007456302644
22;28.12;15.0;50.0;40.62;34.38;46.88;60.94;41.41;60.16;50.0;64.84;35.94;21.09;10.16;43.75;0.4799;0.015398470842838288;34.38;21.0;56.25;40.62;40.62;48.44;64.06;55.47;65.62;50.0;71.88;39.84;21.88;10.94;46.88;0.48768;0.014737744772434235
23;28.12;15.0;50.0;40.62;34.38;45.31;60.94;41.41;60.16;50.0;65.62;36.72;21.09;10.16;43.75;0.4867;0.015143158388137817;34.38;21.0;56.25;40.62;40.62;48.44;64.06;55.47;66.41;50.0;72.66;39.84;22.66;10.94;46.88;0.4923;0.014544642405509949
24;28.12;15.0;50.0;40.62;34.38;45.31;60.94;42.19;60.94;50.0;66.41;36.72;21.88;10.16;43.75;0.4891;0.015072021758556367;34.38;21.0;56.25;40.62;39.06;48.44;62.5;55.47;66.41;50.0;72.66;40.62;22.66;11.72;46.88;0.5051;0.014245629813671112
25;28.12;15.0;50.0;40.62;34.38;45.31;60.94;42.97;60.94;50.0;66.41;37.5;21.88;10.16;43.75;0.4859;0.015125460886955261;34.38;21.0;56.25;40.62;39.06;48.44;62.5;55.47;66.41;50.0;73.44;40.62;22.66;11.72;46.88;0.5101;0.01401352284669876
26;28.12;15.0;56.25;40.62;32.81;45.31;60.94;42.97;61.72;50.0;67.19;37.5;21.88;10.16;43.75;0.4943;0.014985792899131775;34.38;21.0;56.25;40.62;39.06;46.88;62.5;55.47;66.41;50.0;73.44;40.62;22.66;11.72;46.88;0.51952;0.013836163794994354
27;28.12;15.0;56.25;40.62;32.81;45.31;60.94;43.75;61.72;50.0;67.97;38.28;21.88;10.94;43.75;0.502;0.014849304449558258;34.38;22.0;56.25;40.62;39.06;46.88;62.5;56.25;66.41;50.0;73.44;40.62;22.66;11.72;46.88;0.52402;0.013596450412273408
28;28.12;15.0;56.25;40.62;32.81;45.31;60.94;44.53;61.72;50.0;68.75;38.28;21.88;10.94;43.75;0.5098;0.014770894253253937;35.94;22.0;56.25;40.62;39.06;46.88;62.5;56.25;66.41;50.0;74.22;41.41;22.66;11.72;46.88;0.52668;0.01350760952949524
29;29.69;15.0;56.25;40.62;32.81;45.31;60.94;44.53;62.5;50.0;68.75;38.28;22.66;10.94;43.75;0.5064;0.014724561655521393;35.94;22.0;56.25;40.62;37.5;46.88;62.5;56.25;66.41;50.0;74.22;41.41;22.66;11.72;43.75;0.53754;0.013240525617599487
30;29.69;16.0;56.25;37.5;34.38;45.31;60.94;45.31;62.5;50.0;69.53;39.06;22.66;10.94;43.75;0.5149;0.01434928971529007;35.94;22.0;56.25;37.5;37.5;46.88;62.5;56.25;66.41;50.0;74.22;41.41;23.44;11.72;43.75;0.53958;0.013048866567611695
31;29.69;16.0;56.25;37.5;32.81;45.31;60.94;45.31;62.5;50.0;70.31;39.06;22.66;10.94;43.75;0.517;0.014248722100257873;35.94;22.0;56.25;37.5;37.5;46.88;62.5;56.25;66.41;50.0;75.0;41.41;23.44;11.72;43.75;0.54886;0.012896502943038941
32;29.69;16.0;56.25;37.5;32.81;45.31;60.94;46.09;62.5;50.0;70.31;39.84;22.66;11.72;43.75;0.5112;0.014723235809803009;35.94;22.0;62.5;37.5;37.5;45.31;62.5;56.25;66.41;50.0;75.0;42.19;23.44;11.72;43.75;0.55214;0.012736671996116639
33;29.69;16.0;56.25;37.5;32.81;43.75;60.94;46.09;62.5;50.0;71.09;39.84;22.66;11.72;43.75;0.5229;0.014242298758029938;35.94;23.0;62.5;37.5;37.5;45.31;62.5;56.25;66.41;50.0;75.0;42.19;23.44;12.5;43.75;0.5593;0.012562976200580597
34;29.69;16.0;56.25;37.5;32.81;43.75;60.94;46.09;62.5;50.0;71.09;40.62;23.44;11.72;43.75;0.5208;0.014394835186004639;35.94;23.0;56.25;37.5;37.5;45.31;62.5;56.25;66.41;50.0;75.0;42.19;23.44;12.5;43.75;0.5643;0.012420911056995393
35;29.69;16.0;56.25;37.5;32.81;43.75;60.94;46.88;63.28;56.25;71.88;40.62;23.44;11.72;43.75;0.5118;0.014894199299812318;35.94;23.0;56.25;37.5;37.5;45.31;62.5;56.25;66.41;50.0;75.78;42.97;23.44;12.5;43.75;0.56934;0.012184144377708435
